sup,conf,n_dtpt,Apriori,FPGrowth,AprioriPar
0.01,0.5,1,112647221334,29345535128,105366466138
0.01,0.5,1,113057762893,29211562257,107994841438
0.01,0.5,1,111490377311,29218286555,106375154677
0.01,0.5,1,112006113020,29287343032,106173328998
0.01,0.5,1,113812160609,29319790511,107813159816
0.01,0.5,1,112190221208,29190519384,106419833975
0.01,0.5,1,109804975952,29236329393,105908876929
0.01,0.5,1,109684747549,29210609222,104541784246
0.01,0.5,1,115085603666,29354874515,106804294809
0.01,0.5,1,110748375545,29226026867,103923991118
0.01,0.5,0.2,19986883009,6315411847,19716555317
0.01,0.5,0.2,20285185446,6089093472,19575159732
0.01,0.5,0.2,20110051559,6394042710,19542423806
0.01,0.5,0.2,20574145177,6251606144,19939889640
0.01,0.5,0.2,20669418127,6314872776,20376302130
0.01,0.5,0.2,20314621739,6036307289,19407024310
0.01,0.5,0.2,20295903532,6044539028,20120521202
0.01,0.5,0.2,20767842418,6134419253,20273542491
0.01,0.5,0.2,21041770648,6012864664,20062323772
0.01,0.5,0.2,20680657311,6172107938,19873434309
0.01,0.5,0.5,45354533646,14351059549,44205666727
0.01,0.5,0.5,44645742983,14800204118,45561533401
0.01,0.5,0.5,45503710594,14361214834,43610469829
0.01,0.5,0.5,44865938498,14237279937,43363757888
0.01,0.5,0.5,44662308671,14926456673,43661855314
0.01,0.5,0.5,46402217581,14772903007,43425517499
0.01,0.5,0.5,44468064986,14244659929,44295216519
0.01,0.5,0.5,44709726278,14194027979,44696374915
0.01,0.5,0.5,46221109977,14375896223,43922954313
0.01,0.5,0.5,45982674881,14152599993,44497097205
0.01,0.5,0.1,13003043737,3635276940,13198411909
0.01,0.5,0.1,13659612121,3485430861,13384167246
0.01,0.5,0.1,13517707827,3476409625,13386611635
0.01,0.5,0.1,13336716810,3547081339,13287724902
0.01,0.5,0.1,13393551264,3465288950,13159538735
0.01,0.5,0.1,13072568955,3519615359,13016877338
0.01,0.5,0.1,13069752335,3576137971,12801192575
0.01,0.5,0.1,13223892566,3495605038,13068366971
0.01,0.5,0.1,12999495389,3538988775,12845790333
0.01,0.5,0.1,13061136694,3541905819,13121343337
0.01,0.5,0.2,20467732107,6154247805,19949614842
0.01,0.5,0.2,20932472327,6162836306,20251673682
0.01,0.5,0.2,20742644514,6111840130,20209097068
0.01,0.5,0.2,20723985159,6172630860,20185893151
0.01,0.5,0.2,20525683555,6109780975,20317592519
0.01,0.5,0.2,20662836137,6096342372,20112730269
0.01,0.5,0.2,20553145212,6218186076,20074610791
0.01,0.5,0.2,20319238235,6002992930,20082812376
0.01,0.5,0.2,20927881358,6008811805,20059422899
0.01,0.5,0.2,20262182247,6181219172,19729069984
0.01,0.5,0.5,45872741822,14771895833,44388036403
0.01,0.5,0.5,45737118496,14816274792,44459970480
0.01,0.5,0.5,45888521554,14968365434,44160220757
0.01,0.5,0.5,45707078892,14639113293,44127938168
0.01,0.5,0.5,45109542250,14159531027,44374680642
0.01,0.5,0.5,46342988689,14796546977,44012107748
0.01,0.5,0.5,45119371906,14929866875,42830636270
0.01,0.5,0.5,45852974449,14235916240,44674787961
0.01,0.5,0.5,46051142289,14277540439,43662184933
0.01,0.5,0.5,45881310865,14864445463,44254069708
0.01,0.5,0.01,8823999358,1061996355,8948487276
0.01,0.5,0.01,8805084926,1042418072,8934039214
0.01,0.5,0.01,8406029419,1012493127,8495247033
0.01,0.5,0.01,8680738515,1030489466,8848279362
0.01,0.5,0.01,8796857485,1048402779,8987814946
0.01,0.5,0.01,8356275389,1072562654,8499987420
0.01,0.5,0.01,8966241664,1035020275,9016024028
0.01,0.5,0.01,8232437479,967777107,8204010313
0.01,0.5,0.01,8890431220,1087603323,9001029090
0.01,0.5,0.01,8546179688,941492154,8645055271
0.02,0.5,1,52284414937,21027656023,46428311946
0.02,0.5,1,52094228930,21088672802,47113382179
0.02,0.5,1,52376075675,20989978937,46404505963
0.02,0.5,1,52878547076,21066144189,47212540180
0.02,0.5,1,52850894352,21017520210,47537663275
0.02,0.5,1,52062190171,20974782695,46985059814
0.02,0.5,1,51924736633,21012975195,46638029786
0.02,0.5,1,52443919435,21030942317,46405625630
0.02,0.5,1,51809515667,21018048160,46648254755
0.02,0.5,1,52168809601,21049040164,46483989760
0.02,0.5,0.2,8249613477,4250459238,7595165645
0.02,0.5,0.2,8224399982,4374242735,7635743893
0.02,0.5,0.2,8269028237,4074676668,7534331794
0.02,0.5,0.2,8172148092,4041558696,7527585506
0.02,0.5,0.2,8050869194,3978054007,7463921898
0.02,0.5,0.2,8122713213,4372389309,7621724806
0.02,0.5,0.2,7945546382,4152443943,7455874440
0.02,0.5,0.2,8189433848,4074796185,7423906977
0.02,0.5,0.2,8059157805,3996795327,7459338381
0.02,0.5,0.2,8109181076,4108639226,7393941803
0.02,0.5,0.5,19956370710,10359210785,17967166900
0.02,0.5,0.5,19772445593,9964490745,17910797445
0.02,0.5,0.5,20184394061,10003197409,18141117434
0.02,0.5,0.5,19590374741,9849566196,17622219279
0.02,0.5,0.5,19716486350,10002092734,17899460549
0.02,0.5,0.5,19799304534,10556612492,18032030330
0.02,0.5,0.5,20053292347,10418286173,17874830370
0.02,0.5,0.5,19752579332,10064100305,18337945201
0.02,0.5,0.5,20489443215,10468858852,18443337917
0.02,0.5,0.5,19634534231,9922987552,18001779535
0.02,0.5,0.1,4736004954,2218976921,4490348649
0.02,0.5,0.1,4719716822,2150677926,4476902451
0.02,0.5,0.1,4637288818,2107389520,4409667306
0.02,0.5,0.1,4750869511,2189286286,4440168703
0.02,0.5,0.1,4756976427,2206253049,4460750022
0.02,0.5,0.1,4740322033,2167306888,4445394117
0.02,0.5,0.1,4665929829,2165852469,4413686359
0.02,0.5,0.1,4781608825,2193035060,4503975729
0.02,0.5,0.1,4696132728,2186191175,4519126198
0.02,0.5,0.1,4732359155,2197259138,4551881554
0.02,0.5,0.2,8225444241,4039465122,7760582951
0.02,0.5,0.2,8569041599,3997698848,7824779858
0.02,0.5,0.2,8233401131,4206869336,7616206013
0.02,0.5,0.2,8307629581,4093458885,7694055143
0.02,0.5,0.2,8156315895,4056190310,7600284300
0.02,0.5,0.2,8580476483,4037895382,7873844157
0.02,0.5,0.2,8361981511,4093886414,7931895026
0.02,0.5,0.2,8160915065,4166004797,7617747657
0.02,0.5,0.2,8259037894,4163417574,7552138459
0.02,0.5,0.2,8189720423,4088093804,7786534005
0.02,0.5,0.5,19988907153,9973120504,18336428304
0.02,0.5,0.5,20156741127,10481631324,18147705847
0.02,0.5,0.5,19951432853,10331138080,18378553584
0.02,0.5,0.5,20352254236,10546692120,18286677224
0.02,0.5,0.5,20106258058,10313989112,18215392945
0.02,0.5,0.5,20197157701,10036784647,18225409921
0.02,0.5,0.5,20193911001,10361951123,18316977101
0.02,0.5,0.5,20336658907,10425419624,18440852757
0.02,0.5,0.5,20297531485,10007070861,18756488682
0.02,0.5,0.5,19926620675,10276722025,18179824345
0.02,0.5,0.01,1725233850,520720118,1786446499
0.02,0.5,0.01,1748309742,473870779,1797370494
0.02,0.5,0.01,1652961527,459925576,1720879580
0.02,0.5,0.01,1725744508,470616125,1757842528
0.02,0.5,0.01,1568603261,429572971,1617763686
0.02,0.5,0.01,1648844460,440353455,1689368620
0.02,0.5,0.01,1755190121,473197583,1806823787
0.02,0.5,0.01,1699957243,428291122,1760019441
0.02,0.5,0.01,1662404754,463275822,1708929550
0.02,0.5,0.01,1726274364,486877632,1789933337
